Scheme Name,DBT,Economic Distress,Description,Apply Link,min_age,max_age,caste_sc,caste_st,caste_obc,caste_ews,caste_general,caste_bc,caste_sebc,caste_vjnt,caste_sbc,caste_minority,caste_parsi,caste_all,is_farmer,is_student,is_disabled,is_widow,is_pregnant,is_unorganized_worker,is_entrepreneur,is_woman,is_artist,is_exservicemen,is_government,is_orphan,is_elderly,is_journalist,is_ews,is_low_income,income_upper_limit,income_category,sub_categories,primary_category,Residence_Cleaned,Minority_Type,Minority_Cleaned,Disability_Type,Disability_Cleaned,Benefit_Category,Marital_Status_Clean,BPL_Clean,Employment_Status_Clean,Application_Mode_Clean,Scheme_Type_Clean,Location_Clean
Tool Kit Grant for Traditional Handicrafts Experts,No,No,Scheme to enhance productivity and income of traditional OBC craftsmen by providing tool kits and training support.,N/A,0,100,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Kerala,No,No,None,No,In Kind,All,No,Self-Employed,Offline,State,Kerala
Snehasanthwanam,No,Yes,Social security scheme providing relief assistance for Endosulfan victims.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BPL,['Health'],Health,Kerala,No,No,Unspecified,Yes,Financial,All,Yes,Unemployed,Offline,State,Kerala
ICMR – Post Doctoral Fellowship,No,No,Research fellowship to encourage postdoctoral scholars in medical and health sciences.,https://main.icmr.nic.in/fellowships,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,All India,No,No,None,No,Other,All,No,Employed,Online,Central,Central Govt.
National Family Benefit Scheme,Yes,Yes,Financial aid to BPL families upon the death of their breadwinner.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,BPL,['Women Welfare'],Women Welfare,Uttar Pradesh,No,No,None,No,Financial,Widowed,Yes,Unemployed,Offline,State,Uttar Pradesh
Scheme for Grant of Additional Scholarship to OBC Students of Andaman & Nicobar Islands,Yes,No,Scholarship support to OBC students outside A&N for post-secondary education.,N/A,18,35,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Andaman and Nicobar,No,No,None,No,Financial,Single,Yes,Student,Offline,State,A&n Islands
Dr. Ambedkar Centrally Sponsored Scheme of Post-Matric Scholarship for EBC Students,Yes,Yes,Scholarship for EBC students to complete post-matric education within India.,https://socialjustice.gov.in/schemespostmatric,18,36,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,No,No,None,No,Financial,All,Yes,Student,Online,Central,Central Govt.
Financial Assistance under Odisha Working Journalist Welfare Scheme,Yes,Yes,Provides ex gratia to journalists' families in case of death or permanent disability.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Unspecified,['Employment'],Employment,Odisha,No,No,None,No,Financial,Widowed,Unknown,Employed,Offline,State,Odisha
Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC),No,No,Ph.D. fellowship by UGC for single girl children for doctoral studies.,https://www.ugc.gov.in/sjsgc/,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Women Welfare'],Women Welfare,All India,No,No,None,No,Fellowship,Single,Unknown,Student,Online,Central,Central Govt.
Exposure Visits to the Assam Legislative Assembly,No,No,Learning opportunity for political science students to understand legislative functioning through guided visits.,N/A,18,35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Assam,No,No,None,No,In Kind,Single,Unknown,Student,Offline,State,Assam
Scheme of Assistance for the Prevention of Alcoholism & Substance Abuse,No,Yes,Financial aid for rehabilitation and social defence activities where regular schemes do not apply.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Unspecified,['Health'],Health,All India,No,No,None,No,Financial,All,No,Other,Offline,Central,India
Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,No,Yes,Support for self-employment of crime victim dependents via grants and assistance.,N/A,18,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Low Income,['Employment'],Employment,Kerala,No,No,None,No,Financial,Widowed,Yes,Unemployed,Offline,State,Kerala
Nari Niketans,No,Yes,State homes offering shelter and rehabilitation to destitute/widowed women.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Housing'],Housing,Jammu & Kashmir,No,No,None,No,Housing,Widowed,Yes,Unemployed,Offline,State,Jammu & Kashmir
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,Yes,Yes,Medical financial aid for unorganized workers facing serious illness.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,Low Income,['Health'],Health,Chhattisgarh,No,No,None,No,Financial,All,Yes,Employed,Offline,State,Chhattisgarh
Airavata Scheme,Yes,Yes,"SC/ST youth trained and assisted for self-employment via cab aggregator partnerships (e.g., Ola, Uber).",N/A,18,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Transport', 'Infrastructure']",Transport,Karnataka,No,No,None,No,Other,All,Yes,Self-Employed,Offline,State,Karnataka
Reimbursement of Stamp Duty and Registration Charges,No,No,Refund of stamp duty and registration fees to MSMEs investing in backward regions.,https://msmeonline.tn.gov.in/,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,['Business'],Business,Tamil Nadu,No,No,None,No,Financial,All,No,Self-Employed,Offline,State,Tamil Nadu
Support for Value Addition - Support to R&G units,Yes,No,"Support for improving roasting, grinding, packaging of coffee and boosting domestic consumption.",https://www.indiacoffee.org/,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,"['Agriculture', 'Environment']",Agriculture,All India,No,No,None,No,Subsidy,All,No,Self-Employed,Online,Central,India
MANAGE Internship Programme,No,No,Internships in agri-extension and environmental studies through MANAGE.,https://manage.gov.in/,20,30,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Agriculture', 'Environment']",Agriculture,All India,No,No,None,No,Composite / Multi,Single,No,Student,Online,Central,India
Laadli Laxmi Scheme,Yes,Yes,Financial grant towards marriage of girl child to discourage female foeticide.,https://www.goa.gov.in/schemes/laadli-laxmi-scheme/,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,Low Income,['Women Welfare'],Women Welfare,Goa,No,No,None,No,Financial,Single,Yes,Unemployed,Offline,State,Goa
Distress Relief Fund For The Differently Abled (Medical Treatment),No,Yes,Medical relief for differently abled individuals under distress conditions.,https://sjd.kerala.gov.in/schemes/distress-relief-fund/,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,BPL,['Health'],Health,Kerala,No,No,Unspecified,Yes,Financial,All,Yes,Unemployed,Offline,State,Kerala
Coaching Schemes for SC/ST/OBC/Minority Students,No,No,Coaching support for students from SC/ST/OBC/Minority groups to access university-level education.,N/A,18,25,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,All India,Yes (Unspecified),Yes,None,No,Other,All,No,Student,Both,Central,India
Atma Nirbhar Bagwani Yojana,No,No,₹60 crore allocated scheme to promote horticulture/agriculture under Atma Nirbhar programme.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Arunachal Pradesh,No,No,None,No,Subsidy,All,No,Self-Employed,Offline,State,Arunachal Pradesh
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,Yes,Yes,Self-help allowance for unemployed educated youth to reduce financial burden.,N/A,18,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Low Income,['Employment'],Employment,Bihar,No,No,None,No,Financial,Single,Yes,Unemployed,Offline,State,Bihar
Natural Calamity Relief to Fishermen of State,No,Yes,Financial aid for damage/loss of fishing vessels during natural disasters.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Goa,No,No,None,No,Financial,All,No,Self-Employed,Offline,State,Goa
Industry Linked Biotechnology Research Scheme,No,No,Academia-industry biotechnology projects with commercialisation potential.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Kerala,No,No,None,No,Financial,All,No,Employed,Both,State,Kerala
Lifejackets & Lifebuoys for Fishermen,No,No,50% government grant for buying life-saving equipment for eligible fishermen.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Goa,No,No,None,No,Financial,All,No,Self-Employed,Offline,State,Goa
Coffee Development Programme (Eco-Certification),Yes,No,Subsidy and support to promote organic certification of coffee in NE region.,N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Other,No,No,None,No,Subsidy,All,No,Self-Employed,Online,Central,Region
