id,income,goal_type,goal_amount,duration_months,recommended_monthly_saving
1,39635,education,13404,24,614.35
2,29170,housing,28515,31,919.84
3,17800,housing,30897,28,1103.46
4,48494,housing,174821,15,12820.21
5,22810,health,145986,26,5614.85
6,44149,family_support,24809,18,1516.11
7,15291,education,67913,33,2057.97
8,35324,education,58518,30,2145.66
9,42726,housing,44155,23,2111.76
10,9724,health,195386,21,8373.69
11,42670,family_support,71202,14,5594.44
12,13799,start_business,175194,31,5651.42
13,16003,start_business,192578,28,6877.79
14,21465,education,32680,36,907.78
15,21844,health,127114,34,3738.65
16,23978,family_support,68566,7,9795.14
17,24868,housing,33074,36,918.72
18,6622,housing,47845,32,1345.64
19,14542,health,15281,13,1175.46
20,28847,start_business,11138,18,618.78
21,12391,start_business,116439,35,3326.83
22,49907,family_support,137278,27,5592.81
23,28492,education,59454,30,1981.8
24,19994,family_support,20426,18,1134.78
25,40630,start_business,130710,24,5990.88
26,11366,health,104283,23,4534.04
27,12815,start_business,119298,32,3728.06
28,39273,health,25116,7,3946.8
29,44221,housing,90550,32,3112.66
30,27337,housing,102127,33,3094.76
31,36042,education,99085,15,7266.23
32,16155,housing,58071,12,4839.25
33,42189,education,98389,12,9018.99
34,22301,housing,72662,32,2270.69
35,12712,education,143964,13,11074.15
36,27653,education,191701,32,5990.66
37,44230,education,57267,31,2032.05
38,9779,education,55323,6,8298.45
39,38804,health,31336,29,1188.61
40,40125,health,127664,21,6687.16
41,49959,education,157430,21,8246.33
42,33196,family_support,48377,21,2534.03
43,33138,family_support,39359,14,3092.49
44,9945,start_business,133873,18,6693.65
45,9699,family_support,141105,9,14110.5
46,30953,start_business,60392,36,1845.31
47,39014,start_business,81219,14,6381.49
48,22048,housing,162005,24,6750.21
49,42762,health,128704,10,14157.44
50,6409,family_support,49458,31,1435.88
51,44338,family_support,131659,23,6296.73
52,26075,housing,141779,18,7876.61
53,19642,start_business,63663,29,2195.28
54,43263,start_business,117880,30,4322.27
55,39087,start_business,17118,9,2092.2
56,48766,housing,58297,6,10687.78
